grad,gpa,app,res
"南京工业大学","77","谢菲尔德大学
The University of Sheffield","申请失败"
"西南大学","3.61","澳大利亚国立大学
The Australian National University","申请成功"
"南京师范大学","84.15","曼彻斯特大学
The University of Manchester","申请失败"
"北京电影学院","2.901","东英吉利大学
University of East Anglia","申请成功"
"中南大学","78.11","巴斯大学
University of Bath","申请成功"
"天津大学仁爱学院","82.62","利兹大学
University of Leeds","申请成功"
"大连民族大学","3.35","纽卡斯尔大学
Newcastle University","申请成功"
"华南理工大学","3.37","格拉斯哥大学
University of Glasgow","申请失败"
"韦洛尔理工大学","申请时无海外学生成绩","伯恩茅斯大学
Bournemouth University","申请成功"
"暨南大学Jinan University","3.56","萨塞克斯大学
University of Sussex","申请失败"
"中央兰开夏大学","申请时无海外学生成绩","谢菲尔德大学
The University of Sheffield","申请失败"
"长春大学","申请时无均分成绩","利物浦大学
University of Liverpool","申请成功"
"思克莱德大学","申请时无均分成绩","格拉斯哥大学
University of Glasgow","申请成功"
"北京师范大学-香港浸会大学联合国际学院","3.11","曼彻斯特大学
The University of Manchester","申请失败"
"","82.3","利兹大学
University of Leeds","申请成功"
"Sichuan University","76","利兹大学
University of Leeds","申请失败"
"徐州师范大学XuZhou Normal University","91.5","南安普顿大学
University of Southampton","申请失败"
"浙江大学城市学院","80","利物浦大学
University of Liverpool","申请成功"
"华南理工大学","2.92","伦敦大学国王学院
King’s College London","申请失败"
"桑德兰大学","申请时无海外学生成绩","雷丁大学
University of Reading","申请成功"
"合肥工业大学","79.2","曼彻斯特大学
The University of Manchester","申请成功"
"武汉大学","申请时无GPA成绩","格拉斯哥大学
University of Glasgow","申请成功"
"天津理工大学","80","南安普顿大学
University of Southampton","申请失败"
"郑州航空工业管理学院","85","诺丁汉大学
The University of Nottingham","申请失败"
"Sichuan University of Media and Communications","81.26","东英吉利大学
University of East Anglia","申请成功"
"北京物资学院","87","萨里大学
University of Surrey","申请成功"
"山东财经大学","89.71","利兹大学
University of Leeds","申请失败"
"广西师范大学","82.3","约克大学
University of York","申请成功"
"朴次茅斯大学","申请时无海外学生成绩","萨里大学
University of Surrey","申请失败"
"北京师范大学","86.16","伦敦大学国王学院
King’s College London","申请成功"
"","3.21","拉夫堡大学
Loughborough University","申请成功"
"河北工业大学","2.61","谢菲尔德大学
The University of Sheffield","申请失败"
"暨南大学","4.04","杜伦大学
Durham University","申请成功"
"重庆人文科技学院","88","纽卡斯尔大学
Newcastle University","申请成功"
"Central South University","申请时无均分成绩","曼彻斯特大学
The University of Manchester","申请成功"
"广州大学","3.09","诺丁汉大学
The University of Nottingham","申请失败"
"北京化工大学","申请时无均分成绩","曼彻斯特大学
The University of Manchester","申请成功"
"天津科技大学","81","约克大学
University of York","申请成功"
"成都文理学院","3.23","曼彻斯特大学
The University of Manchester","申请成功"
"北京外国语大学","80","布里斯托大学
University of Bristol","申请失败"
"福州大学","3.25","曼彻斯特大学
The University of Manchester","申请成功"
"天津师范大学","81","拉夫堡大学
Loughborough University","申请成功"
"西南政法大学","3.2","格拉斯哥大学
University of Glasgow","申请成功"
"廊坊师范学院","申请时无均分成绩","曼彻斯特大学
The University of Manchester","申请成功"
"林肯大学","61.8","曼彻斯特大学
The University of Manchester","申请成功"
"北京工业大学耿丹学院","申请时无均分成绩","利物浦大学
University of Liverpool","申请失败"
"辽宁科技大学","3.6","卡迪夫大学
Cardiff University","申请成功"
"无锡太湖学院","申请时无均分成绩","曼彻斯特大学
The University of Manchester","申请失败"
"北京师范大学珠海分校","3.8","南安普顿大学
University of Southampton","申请成功"
"塔拉理工学院","83.5","纽卡斯尔大学
Newcastle University","申请成功"
"北京邮电大学","83.5","曼彻斯特大学
The University of Manchester","申请成功"
"中国药科大学","82","利兹大学
University of Leeds","申请成功"
"哈德斯菲尔德大学","申请时无均分成绩","萨塞克斯大学
University of Sussex","申请成功"
"滨州学院","78","谢菲尔德哈勒姆大学
Sheffield Hallam University","申请成功"
"大连交通大学","80","南安普顿大学
University of Southampton","申请失败"
"哈德斯菲尔德大学","申请时无合办项目成绩","卡迪夫大学
Cardiff University","申请成功"
"474780","3.71","伦敦大学国王学院
King’s College London","申请失败"
"河海大学","3.22","谢菲尔德大学
The University of Sheffield","申请成功"
"北京师范大学珠海分校","87","纽卡斯尔大学
Newcastle University","申请成功"
"西南大学","3.03","拉夫堡大学
Loughborough University","申请成功"
"安徽大学","86.55","伯明翰大学
University of Birmingham","申请成功"
"伯明翰城市大学","申请时无合办项目成绩","拉夫堡大学
Loughborough University","申请成功"
"广东工业大学","79.54","埃塞克斯大学
University of Essex","申请成功"
"西北政法大学","81.05","昆士兰大学
The University of Queensland","申请失败"
"首都师范大学","3.16","谢菲尔德大学
The University of Sheffield","申请失败"
"南开大学","84","伦敦大学国王学院
King’s College London","申请成功"
"东南大学成贤学院Southeast University Chengxian College","3.94","卡迪夫大学
Cardiff University","申请成功"
"北京工商大学","3.56","利兹大学
University of Leeds","申请失败"
"湖南科技大学","74.04","拉夫堡大学
Loughborough University","申请成功"
"上海海事大学","2.76","卡迪夫大学
Cardiff University","申请失败"
"UWTSD the University of Wales Trinity Saint David","2.2","莱斯特大学
University of Leicester","申请成功"
"中山大学南方学院","申请时无均分成绩","卡迪夫大学
Cardiff University","申请成功"
"","65","伦敦大学皇家霍洛威学院
Royal Holloway, University of London","申请成功"
"重庆文理学院","80.06","利物浦大学
University of Liverpool","申请成功"
"上海商学院","申请时无均分成绩","曼彻斯特大学
The University of Manchester","申请失败"
"黑龙江科技大学","83","阿德莱德大学
The University of Adelaide","申请成功"
"安徽财经大学","3.62","利兹大学
University of Leeds","申请失败"
"中国人民解放军理工大学","84","纽卡斯尔大学
Newcastle University","申请失败"
"朴茨茅斯大学","2.1","伯明翰大学
University of Birmingham","申请成功"
"北京师范大学珠海分校","83","斯特拉斯克莱德大学
University of Strathclyde","申请成功"
"四川外国语大学","81.76","格拉斯哥大学
University of Glasgow","申请失败"
"浙江传媒学院","84.89","埃克塞特大学
University of Exeter","申请失败"
"江汉大学","83","格拉斯哥大学
University of Glasgow","申请成功"
"中国药科大学","80","伦敦大学国王学院
King’s College London","申请成功"
"北京工商大学","80","伦敦大学玛丽皇后学院
Queen Mary, University of London","申请成功"
"Bowen College of Management Guilin University","3.24","曼彻斯特大学
The University of Manchester","申请成功"
"萨塞克斯大学","2.1","利兹大学
University of Leeds","申请成功"
"曼彻斯特大学","申请时无均分成绩","墨尔本皇家理工大学
RMIT University","申请成功"
"中央兰开夏大学","申请时无海外学生成绩","萨塞克斯大学
University of Sussex","申请失败"
"暨南大学","2.88","兰卡斯特大学
Lancaster University","申请失败"
"东南大学","申请时无均分成绩","伦敦大学国王学院
King’s College London","申请成功"
"中国人民大学","申请时无均分成绩","伦敦大学国王学院
King’s College London","申请失败"
"广东外语外贸大学","3.23","南安普顿大学
University of Southampton","申请失败"
"萨塞克斯大学","53","南安普顿大学
University of Southampton","申请成功"
"思克莱德大学","申请时无均分成绩","曼彻斯特大学
The University of Manchester","申请成功"
"江苏理工学院","71.58","伦敦大学玛丽皇后学院
Queen Mary, University of London","申请失败"
"复旦大学","申请时无均分成绩","卡迪夫大学
Cardiff University","申请成功"
"南京大学金陵学院Nanjing University Jinling College","73.4","肯特大学
University of Kent","申请成功"
"史丹福郡大学","申请时无海外学生成绩","萨塞克斯大学
University of Sussex","申请成功"
"深圳大学","3.05","拉夫堡大学
Loughborough University","申请成功"
"重庆理工大学","2.5","东英吉利大学
University of East Anglia","申请失败"
"University of Sunderland(Singapore Campus)","申请时无均分成绩","利兹大学
University of Leeds","申请失败"
"史丹福郡大学","申请时无海外学生成绩","伯明翰大学
University of Birmingham","申请失败"
"广西师范大学漓江学院","84.2","南安普顿大学
University of Southampton","申请成功"
"北京师范大学珠海分校","83","卡迪夫大学
Cardiff University","申请失败"
"广东外语外贸大学","3.26","伦敦大学国王学院
King’s College London","申请失败"
"大连理工大学","70.3","利兹大学
University of Leeds","申请成功"
"浙江大学","85.28","曼彻斯特大学
The University of Manchester","申请失败"
"南京体育学院","3.78","伯明翰大学
University of Birmingham","申请成功"
"天津大学","85.6","布里斯托大学
University of Bristol","申请成功"
"浙江理工大学","3.47","伦敦大学国王学院
King’s College London","申请失败"
"对外经济贸易大学","84.89","纽卡斯尔大学
Newcastle University","申请成功"
"河南大学","3.3","纽卡斯尔大学
Newcastle University","申请成功"
"威尔士三一圣大卫大学","申请时无海外学生成绩","伯明翰大学
University of Birmingham","申请成功"
"德蒙福特大学","申请时无海外学生成绩","格拉斯哥大学
University of Glasgow","申请成功"
"哈德斯菲尔德大学","申请时无合办项目成绩","雷丁大学
University of Reading","申请成功"
"广东技术师范学院","3.4","南安普顿大学
University of Southampton","申请成功"
"上海大学","87.15","兰卡斯特大学
Lancaster University","申请成功"
"普利茅斯大学","申请时无均分成绩","南安普顿大学
University of Southampton","申请成功"
"Qingdao University of Technology","85.6","谢菲尔德大学
The University of Sheffield","申请成功"
"上海海洋大学","3.15","拉夫堡大学
Loughborough University","申请成功"
"深圳大学","3.45","利兹大学
University of Leeds","申请失败"
"上海海事大学","3.45","卡迪夫大学
Cardiff University","申请失败"
"Tsinghua University Study-abroad Program","申请时无均分成绩","巴斯大学
University of Bath","申请失败"
"深圳大学","2.89","埃克塞特大学
University of Exeter","申请成功"
"天津商业大学","86","澳大利亚国立大学
The Australian National University","申请成功"
"上海市民办新虹桥中学","80","伦敦大学学院
University College London","申请失败"
"南昌大学","81.19","谢菲尔德大学
The University of Sheffield","申请成功"
"南京农业大学","82.5","曼彻斯特大学
The University of Manchester","申请成功"
"河南大学","3.03","卡迪夫大学
Cardiff University","申请成功"
"广东财经大学","3.2","谢菲尔德大学
The University of Sheffield","申请失败"
"北京第二外国语学院中瑞酒店管理学院","83","卡迪夫大学
Cardiff University","申请成功"
"上海杉达学院","89.5","布里斯托大学
University of Bristol","申请失败"
"长春理工大学","85","谢菲尔德大学
The University of Sheffield","申请成功"
"深圳大学","3.39","埃克塞特大学
University of Exeter","申请成功"
"福建农林大学","81.2","爱丁堡大学
The University of Edinburgh","申请失败"
"普利茅斯大学","申请时无均分成绩","伯明翰大学
University of Birmingham","申请成功"
"中南林业科技大学","85.2","格拉斯哥大学
University of Glasgow","申请失败"
"福建师范大学","76.38","布鲁内尔大学
Brunel University London","申请成功"
"北京师范大学珠海分校","3.9","利兹大学
University of Leeds","申请失败"
"格里菲斯学院","2.1","利兹大学
University of Leeds","申请失败"
"天津职业技术师范大学","申请时无均分成绩","拉夫堡大学
Loughborough University","申请失败"
"德蒙福特大学","申请时无海外学生成绩","格拉斯哥大学
University of Glasgow","申请成功"
"天津商业大学","80","昆士兰大学
The University of Queensland","申请成功"
"黑龙江外国语学院","89.5","利物浦大学
University of Liverpool","申请成功"
"东华大学","76.06","南安普顿大学
University of Southampton","申请失败"
"德蒙福特大学","申请时无均分成绩","利物浦大学
University of Liverpool","申请失败"
"南京工业大学","80","莱斯特大学
University of Leicester","申请成功"
"哈德斯菲尔德大学","申请时无合办项目成绩","莱斯特大学
University of Leicester","申请成功"
"九江学院","88","伯明翰大学
University of Birmingham","申请失败"
"天津师范大学津沽学院","2.39","爱丁堡大学
The University of Edinburgh","申请失败"
"北京师范大学珠海分校","3.6","伦敦大学金史密斯学院
Goldsmiths, University of London","申请成功"
"青岛理工大学","85.51","诺丁汉大学
The University of Nottingham","申请成功"
"西南财经大学","申请时无均分成绩","利兹大学
University of Leeds","申请成功"
"吉林大学珠海学院","80.28","金斯顿大学
Kingston University","申请成功"
"湖南大学","78.9","南安普顿大学
University of Southampton","申请成功"
"NEWCASTLE UNIVERSITY","申请时无GPA成绩","埃克塞特大学
University of Exeter","申请失败"
"中山大学","3.8","曼彻斯特大学
The University of Manchester","申请成功"
"上海大学悉尼工商学院","2.83","曼彻斯特大学
The University of Manchester","申请成功"
"南京工程学院","84.38","拉夫堡大学
Loughborough University","申请失败"
"贵州医科大学","3.318","南安普顿大学
University of Southampton","申请成功"
"","3.21","东英吉利大学
University of East Anglia","申请成功"
"山东财经大学","3.51","格拉斯哥大学
University of Glasgow","申请失败"
"北京师范大学珠海分校","84","兰卡斯特大学
Lancaster University","申请失败"
"伦敦大学伯贝克学院","申请时无海外学生成绩","伦敦大学国王学院
King’s College London","申请失败"
"","83.07","利兹大学
University of Leeds","申请失败"
"天津科技大学","2.7","伦敦大学玛丽皇后学院
Queen Mary, University of London","申请成功"
"林肯大学","56.4","卡迪夫大学
Cardiff University","申请成功"
"江西财经大学","83.83","伯明翰大学
University of Birmingham","申请失败"
"深圳大学","2.45","贝尔法斯特女王大学
Queen＇s University Belfast","申请成功"
"德蒙福特大学","申请时无海外学生成绩","萨塞克斯大学
University of Sussex","申请成功"
"上海工程技术大学","86","金斯顿大学
Kingston University","申请成功"
"林肯大学","2.7","斯威本科技大学
Swinburne University of Technology","申请成功"
"University of Northampton","申请时无均分成绩","雷丁大学
University of Reading","申请成功"
"曼彻斯特大学","65","爱丁堡大学
The University of Edinburgh","申请失败"
"江南大学","3","利兹大学
University of Leeds","申请成功"
"蚌埠学院","2.45","谢菲尔德大学
The University of Sheffield","申请成功"
"河北师范大学","85.4","东英吉利大学
University of East Anglia","申请成功"
"集美大学诚毅学院","82.5","纽卡斯尔大学
Newcastle University","申请成功"
"曼彻斯特大学","申请时无海外学生成绩","利兹大学
University of Leeds","申请失败"
"林肯大学","65","萨里大学
University of Surrey","申请成功"
"普利茅斯大学","2.1","埃克塞特大学
University of Exeter","申请成功"
"史丹福郡大学","申请时无海外学生成绩","萨塞克斯大学
University of Sussex","申请失败"
"广州市香江中学","3.83","悉尼大学
The University of Sydney","申请成功"
"吉林财经大学","92.52","悉尼大学
The University of Sydney","申请成功"
"爱荷华大学","3.35","曼彻斯特大学
The University of Manchester","申请成功"
"南开大学滨海学院","83","梅西大学
Massey University","申请成功"
"Zhida Ivy Middle School, Taiyuan","申请时无均分成绩","伦敦大学玛丽皇后学院
Queen Mary, University of London","申请成功"
"四川大学","申请时无均分成绩","伦敦大学国王学院
King’s College London","申请成功"
"天津科技大学","3.12","南安普顿大学
University of Southampton","申请成功"
"德蒙福特大学","申请时无均分成绩","伯明翰大学
University of Birmingham","申请成功"
"长春科技学院Changchun Sci-Tech University","3.3","卡迪夫大学
Cardiff University","申请成功"
"北京师范大学珠海分校","3.6","拉夫堡大学
Loughborough University","申请成功"
"考文垂大学","80","爱丁堡大学
The University of Edinburgh","申请成功"
"普利茅斯大学","申请时无海外学生成绩","谢菲尔德大学
The University of Sheffield","申请成功"
"Minzu University of China","申请时无均分成绩","曼彻斯特大学
The University of Manchester","申请失败"
"中国政法大学","3.43","伦敦大学国王学院
King’s College London","申请失败"
"朴次茅斯大学","申请时无均分成绩","格拉斯哥大学
University of Glasgow","申请成功"
"迈阿密大学","2.9","莱斯特大学
University of Leicester","申请成功"
"内蒙古师范大学","85","伦敦大学国王学院
King’s College London","申请失败"
"中央财经大学","申请时无均分成绩","伦敦大学国王学院
King’s College London","申请成功"
"北京邮电大学","81.74","伦敦大学国王学院
King’s College London","申请成功"
"杭州师范大学钱江学院","3.13","利兹大学
University of Leeds","申请成功"
"中山大学南方学院","3.32","曼彻斯特大学
The University of Manchester","申请失败"
"北京服装学院","77","拉夫堡大学
Loughborough University","申请失败"
"哈德斯菲尔德大学","60","埃克塞特大学
University of Exeter","申请成功"
"南京大学","4.37","格拉斯哥大学
University of Glasgow","申请成功"
"天津市第一百中学","80","悉尼科技大学
University of Technology, Sydney","申请成功"
"深圳大学","3.38","爱丁堡大学
The University of Edinburgh","申请成功"
"利物浦大学","2.2","曼彻斯特大学
The University of Manchester","申请失败"
"武汉音乐学院","3.59","布里斯托大学
University of Bristol","申请成功"
"南京师范大学","87.15","谢菲尔德大学
The University of Sheffield","申请成功"
"大连民族大学","2.62","肯特大学
University of Kent","申请失败"
"巴斯斯巴大学","申请时无均分成绩","萨塞克斯大学
University of Sussex","申请成功"
"朴次茅斯大学","申请时无合办项目成绩","拉夫堡大学
Loughborough University","申请成功"
"湖南大学","2.2","拉夫堡大学
Loughborough University","申请成功"
"湖南第一师范学院","3.67","伯明翰大学
University of Birmingham","申请失败"
"深圳大学","3.08","爱丁堡大学
The University of Edinburgh","申请成功"
"University of International Business and Economics","申请时无均分成绩","爱丁堡大学
The University of Edinburgh","申请失败"
"广东财经大学","3.47","威斯敏斯特大学
University of Westminster","申请成功"
"大连大学","80.71","曼彻斯特大学
The University of Manchester","申请失败"
"朴次茅斯大学","申请时无海外学生成绩","伯明翰大学
University of Birmingham","申请成功"
"成都文理学院","78.5","纽卡斯尔大学
Newcastle University","申请成功"
"宁波诺丁汉大学","申请时无均分成绩","墨尔本大学
The University of Melbourne","申请失败"
"广东海洋大学寸金学院","80.9","雷丁大学
University of Reading","申请成功"
"北京师范大学珠海分校","85","谢菲尔德大学
The University of Sheffield","申请失败"
"湖北经济学院","80.3","萨塞克斯大学
University of Sussex","申请成功"
"北京邮电大学","78.8","伦敦大学国王学院
King’s College London","申请成功"
"西南财经大学","85.89","利兹大学
University of Leeds","申请失败"
"谢菲尔德学院","59","赫特福德大学
University of Hertfordshire","申请成功"
"UNIVERSITY OF LINCOLN","申请时无均分成绩","伦敦大学国王学院
King’s College London","申请失败"
"金陵科技学院","88.42","伦敦大学国王学院
King’s College London","申请成功"
"云南财经大学/Charles Sturt Uni","3.3","卡迪夫大学
Cardiff University","申请成功"
"常州大学Changzhou University","81","格拉斯哥大学
University of Glasgow","申请失败"
"深圳大学","2.79","卡迪夫大学
Cardiff University","申请失败"
"苏州大学","3.5","利兹大学
University of Leeds","申请成功"
"四川外国语大学重庆南方翻译学院","75.6","纽卡斯尔大学
Newcastle University","申请成功"
"诺丁汉大学","申请时无海外学生成绩","澳大利亚国立大学
The Australian National University","申请成功"
"Beijing University of Posts and Telecommunications","申请时无均分成绩","曼彻斯特大学
The University of Manchester","申请成功"
"Coventry University","63.2","利兹大学
University of Leeds","申请失败"
"南方医科大学","77.4","威斯敏斯特大学
University of Westminster","申请失败"
"","2.75","莫纳什大学
Monash University","申请成功"
"长春工程学院","77","东英吉利大学
University of East Anglia","申请成功"
"江苏理工学院","71.58","肯特大学
University of Kent","申请成功"
"西安建筑科技大学","3.69","曼彻斯特大学
The University of Manchester","申请成功"
"澳大利亚国立大学","70","布里斯托大学
University of Bristol","申请成功"
"广东财经大学","3","肯特大学
University of Kent","申请成功"
"华南农业大学","3.59","利兹大学
University of Leeds","申请失败"
"上海财经大学","申请时无GPA成绩","利兹大学
University of Leeds","申请失败"
"华北科技学院","80","雷丁大学
University of Reading","申请成功"
"北京师范大学珠海分校","3.5","巴斯大学
University of Bath","申请失败"
"西南政法大学","3","布里斯托大学
University of Bristol","申请失败"
"朴次茅斯大学","申请时无均分成绩","伯明翰大学
University of Birmingham","申请成功"
"南开大学","申请时无均分成绩","利兹大学
University of Leeds","申请失败"
"朴茨茅斯大学","2.1","利物浦大学
University of Liverpool","申请成功"
"湖南师范大学树达学院","2.37","伦敦大学城市学院
City, University of London","申请失败"
"华南农业大学","86.3","利兹大学
University of Leeds","申请成功"
"西北大学","77","肯特大学
University of Kent","申请失败"
"云南财经大学","87.21","卡迪夫大学
Cardiff University","申请失败"
"中央司法警官学院","78","伦敦大学玛丽皇后学院
Queen Mary, University of London","申请失败"
"东南大学","85.89","南安普顿大学
University of Southampton","申请成功"
"哈尔滨师范大学","76","诺桑比亚大学
Northumbria University","申请成功"
"浙江财经大学","86.98","兰卡斯特大学
Lancaster University","申请成功"
"University of California, Irvine","3.461","伦敦大学国王学院
King’s College London","申请失败"
"广西艺术学院","79.43","利兹大学
University of Leeds","申请失败"
"Macau University of Science and Technology","申请时无GPA成绩","伦敦大学国王学院
King’s College London","申请失败"
"南京工程学院","78.21","南安普顿大学
University of Southampton","申请失败"
"南开大学滨海学院","83","澳大利亚国立大学
The Australian National University","申请失败"
"密歇根州立大学","2.53","利兹大学
University of Leeds","申请成功"
"南京师范大学","86.56","杜伦大学
Durham University","申请成功"
"重庆工商大学派斯学院","81.2","利物浦大学
University of Liverpool","申请失败"
"","82.3","萨塞克斯大学
University of Sussex","申请成功"
"Northwest A&F University","申请时无均分成绩","伦敦大学国王学院
King’s College London","申请成功"
"北京联合大学","3.03","纽卡斯尔大学
Newcastle University","申请成功"
"北安普顿大学","申请时无均分成绩","萨塞克斯大学
University of Sussex","申请失败"
"北京师范大学-香港浸会大学联合国际学院","2.58","拉夫堡大学
Loughborough University","申请失败"
"普利茅斯大学","申请时无均分成绩","布里斯托大学
University of Bristol","申请失败"
"苏州科技学院","87.53","曼彻斯特大学
The University of Manchester","申请成功"
"埃塞克斯大学","55","谢菲尔德大学
The University of Sheffield","申请成功"
"卡迪夫城市大学","申请时无均分成绩","伦敦大学国王学院
King’s College London","申请失败"
"上海海事大学","2.65","卡迪夫大学
Cardiff University","申请成功"
"重庆大学","78","曼彻斯特大学
The University of Manchester","申请失败"
"天津商业大学","3.27","谢菲尔德大学
The University of Sheffield","申请失败"
"三峡大学","2.1","考文垂大学
Coventry University","申请成功"
"汕头大学","申请时无均分成绩","布里斯托大学
University of Bristol","申请失败"
"惠州学院","2.91","格拉斯哥大学
University of Glasgow","申请失败"
"北京工商大学","申请时无均分成绩","伦敦大学国王学院
King’s College London","申请成功"
"宣道会陈朱素华纪念中学","80","朴茨茅斯大学
University of Portsmouth","申请失败"
"首都师范大学","3.24","曼彻斯特大学
The University of Manchester","申请成功"
"谢菲尔德大学","申请时无均分成绩","伦敦大学国王学院
King’s College London","申请失败"
"广东财经大学","78.4","莫纳什大学
Monash University","申请成功"
"兰州财经大学","申请时无均分成绩","谢菲尔德大学
The University of Sheffield","申请失败"
"桑德兰大学","申请时无海外学生成绩","谢菲尔德大学
The University of Sheffield","申请成功"
"","78.97","贝尔法斯特女王大学
Queen＇s University Belfast","申请成功"
"吉林财经大学","85","格拉斯哥大学
University of Glasgow","申请失败"
"诺丁汉特伦特国际学院","申请时无均分成绩","拉夫堡大学
Loughborough University","申请失败"
"重庆师范大学","87.82","曼彻斯特大学
The University of Manchester","申请成功"
"Changchun University of Science and Technology","3.43","曼彻斯特大学
The University of Manchester","申请成功"
"哈尔滨师范大学","86.29","利兹大学
University of Leeds","申请成功"
"","88","东英吉利大学
University of East Anglia","申请成功"
"湖南工业大学","78.32","贝尔法斯特女王大学
Queen＇s University Belfast","申请成功"
"天津商业大学","80","莫纳什大学
Monash University","申请成功"
"湖北大学","83.62","格拉斯哥大学
University of Glasgow","申请成功"
"上海立信会计金融学院","2.85","利物浦大学
University of Liverpool","申请成功"
"西南大学","3.03","利兹大学
University of Leeds","申请成功"
"","86.81","爱丁堡大学
The University of Edinburgh","申请失败"
"普利茅斯大学","申请时无海外学生成绩","雷丁大学
University of Reading","申请成功"
"东南大学","3.29","巴斯大学
University of Bath","申请失败"
"普利茅斯大学","申请时无合办项目成绩","利兹大学
University of Leeds","申请成功"
"朴次茅斯大学","申请时无均分成绩","考文垂大学
Coventry University","申请成功"
"Nanchang University","申请时无均分成绩","利兹大学
University of Leeds","申请成功"
"深圳大学","2.74","拉夫堡大学
Loughborough University","申请失败"
"广东外语外贸大学","3.5","兰卡斯特大学
Lancaster University","申请失败"
"大连理工大学","79","利兹大学
University of Leeds","申请成功"
"山西财经大学","3.56","雷丁大学
University of Reading","申请成功"
"上海对外经贸大学","申请时无均分成绩","布里斯托大学
University of Bristol","申请成功"
"汕头市东厦中学","90","杜伦大学
Durham University","申请成功"
"东华大学","3.59","曼彻斯特大学
The University of Manchester","申请成功"
"南京大学金陵学院","84","约克大学
University of York","申请成功"
"广东第二师范学院","3.33","利兹大学
University of Leeds","申请成功"
"萨塞克斯大学","53","拉夫堡大学
Loughborough University","申请成功"
"天津工业大学","80","南安普顿大学
University of Southampton","申请成功"
"武汉理工大学","申请时无均分成绩","曼彻斯特大学
The University of Manchester","申请失败"
"同济大学","83.67","伯明翰大学
University of Birmingham","申请成功"
"天津商业大学宝德学院","81","南安普顿大学
University of Southampton","申请失败"
"浙江大学城市学院","83.63","曼彻斯特大学
The University of Manchester","申请成功"
"广东财经大学","3.2","爱丁堡大学
The University of Edinburgh","申请失败"
"上海理工大学中英国际学院","申请时无均分成绩","曼彻斯特大学
The University of Manchester","申请失败"
"河南工业大学","80","莱斯特大学
University of Leicester","申请成功"
"澳门科技大学","3.7","南安普顿大学
University of Southampton","申请成功"
"南京农业大学","3.55","布里斯托大学
University of Bristol","申请成功"
"德蒙福特大学","申请时无均分成绩","萨塞克斯大学
University of Sussex","申请成功"
"云南财经大学","87.56","悉尼大学
The University of Sydney","申请成功"
"北京交通大学","3.55","墨尔本大学
The University of Melbourne","申请成功"
"","2.56","兰卡斯特大学
Lancaster University","申请成功"
"湖南大学","申请时无GPA成绩","曼彻斯特大学
The University of Manchester","申请成功"
"德蒙福特大学","申请时无合办项目成绩","伯明翰大学
University of Birmingham","申请成功"
"Tongji University","申请时无均分成绩","曼彻斯特大学
The University of Manchester","申请成功"
"中央兰开夏大学","申请时无海外学生成绩","雷丁大学
University of Reading","申请成功"
"山西财经大学","82","纽卡斯尔大学
Newcastle University","申请失败"
"江南大学","申请时无均分成绩","伦敦大学国王学院
King’s College London","申请成功"
"武汉理工大学","申请时无均分成绩","伦敦大学国王学院
King’s College London","申请成功"
"Guangdong University of Foreign Studies","3.58","曼彻斯特大学
The University of Manchester","申请失败"
"无锡城市职业技术学院","3.45","德蒙福特大学
De Montfort University","申请成功"
"北京理工大学","79","伦敦大学玛丽皇后学院
Queen Mary, University of London","申请成功"
"深圳大学","2.41","阿伯丁大学
The University of Aberdeen","申请失败"
"考文垂大学","80","萨里大学
University of Surrey","申请成功"
"沈阳大学","87.37","约克大学
University of York","申请失败"
"威尔士三一圣大卫大学","申请时无海外学生成绩","伯明翰大学
University of Birmingham","申请成功"
"北京师范大学珠海分校","83","曼彻斯特大学
The University of Manchester","申请成功"
"山东农业大学","3.01","南安普顿大学
University of Southampton","申请成功"
"哈尔滨工业大学（威海）","85","布里斯托大学
University of Bristol","申请失败"
"对外经济贸易大学","88","爱丁堡大学
The University of Edinburgh","申请成功"
"英国剑桥教育集团","申请时无均分成绩","伦敦大学玛丽皇后学院
Queen Mary, University of London","申请失败"
"四川大学","87.17","曼彻斯特大学
The University of Manchester","申请成功"
"扬州大学","3.55","利兹大学
University of Leeds","申请成功"
"","86","惠灵顿维多利亚大学
Victoria University of Wellington","申请成功"
"湛江第一中学","80","埃克塞特大学
University of Exeter","申请成功"
"山东大学","82.54","曼彻斯特大学
The University of Manchester","申请成功"
"南京审计学院","87","布里斯托大学
University of Bristol","申请成功"
"诺丁汉中央学院","70","格拉斯哥大学
University of Glasgow","申请失败"
"河南大学","86.14","格拉斯哥大学
University of Glasgow","申请成功"
"广东外语外贸大学","3.55","杜伦大学
Durham University","申请失败"
"杜伦大学","申请时无均分成绩","伦敦大学国王学院
King’s College London","申请失败"
"普利茅斯大学","2.1","曼彻斯特大学
The University of Manchester","申请成功"
"广东财经大学","86","伦敦大学玛丽皇后学院
Queen Mary, University of London","申请成功"
"四川建筑职业技术学院","75","桑德兰大学
The University of Sunderland","申请成功"
"哈尔滨市第九中学","85","阿德莱德大学
The University of Adelaide","申请成功"
"对外经济贸易大学","88","曼彻斯特大学
The University of Manchester","申请失败"
"华北科技学院","83","贝尔法斯特女王大学
Queen＇s University Belfast","申请失败"
"埃塞克斯大学","63","曼彻斯特大学
The University of Manchester","申请失败"
"","2.37","伯明翰城市大学
Birmingham City University","申请成功"
"麦考瑞大学","3.6","布里斯托大学
University of Bristol","申请失败"
"中南林业科技大学","84.4","卡迪夫大学
Cardiff University","申请成功"
"利物浦大学","申请时无均分成绩","伦敦大学国王学院
King’s College London","申请成功"
